date,безробіття,пошук роботи,вакансії Україна,біржа праці,допомога по безробіттю,звільнення,робота за кордоном,еміграція,зарплата,скорочення штату,відкрити бізнес,закриття бізнесу,криза економічна,кредити готівкою,без роботи що робити,працевлаштування,робота Київ,курси перекваліфікації,мінімальна зарплата,важка ситуація з роботою
2021-03-14,37,36,7,5,2,45,3,2,54,32,41,0,40,0,0,7,43,0,12,0
2021-03-21,30,38,8,5,2,44,3,2,56,0,0,0,41,0,0,6,44,0,12,0
2021-03-28,36,34,8,6,3,50,2,2,56,0,30,0,81,0,0,7,40,0,12,0
2021-04-04,32,38,9,4,2,44,2,2,53,0,0,0,52,0,0,8,32,0,14,0
2021-04-11,36,36,9,3,3,49,2,2,49,0,31,0,54,0,0,6,32,0,13,0
2021-04-18,54,31,0,3,4,47,2,2,48,33,43,0,58,0,0,8,30,0,8,0
2021-04-25,54,22,0,4,2,47,1,2,49,0,34,0,53,0,0,5,30,0,10,0
2021-05-02,36,27,0,3,2,38,2,1,50,0,38,0,0,0,0,4,34,0,11,0
2021-05-09,56,36,0,5,1,44,2,2,51,0,33,0,48,0,0,5,40,0,10,0
2021-05-16,54,41,0,4,0,52,3,2,51,0,30,0,0,0,0,7,42,1,12,0
2021-05-23,52,43,10,4,0,45,3,1,54,0,35,0,0,0,0,8,39,0,11,0
2021-05-30,32,36,0,3,1,47,3,1,60,0,0,0,0,0,0,5,42,0,14,0
2021-06-06,35,34,11,3,2,49,2,0,55,0,34,0,0,0,0,6,40,0,11,0
2021-06-13,15,28,0,3,0,50,2,0,61,0,0,0,0,0,0,6,37,0,13,0
2021-06-20,19,25,0,2,0,38,3,0,57,0,36,0,0,0,0,6,36,0,10,0
2021-06-27,14,28,11,4,0,42,2,0,65,0,0,0,0,0,0,5,39,0,15,0
2021-07-04,12,24,13,4,1,43,3,0,67,0,42,0,0,0,0,5,39,0,17,0
2021-07-11,11,35,0,4,0,45,2,0,61,0,44,0,0,0,0,5,38,0,14,0
2021-07-18,14,40,0,3,0,42,3,0,60,0,37,0,0,0,0,7,43,0,15,0
2021-07-25,12,35,0,4,0,42,2,0,63,0,0,0,0,0,0,5,42,0,13,0
2021-08-01,0,31,16,3,2,41,2,0,61,0,0,0,0,0,0,6,40,0,11,0
2021-08-08,13,46,0,4,0,37,2,0,63,0,0,0,0,0,0,5,38,0,10,0
2021-08-15,0,26,17,3,0,41,2,0,58,0,0,0,0,0,0,5,35,0,11,0
2021-08-22,0,34,0,3,0,36,2,0,58,0,54,0,0,0,0,5,35,0,12,0
2021-08-29,13,27,0,3,0,47,3,0,59,0,0,0,0,0,0,7,44,0,12,0
2021-09-05,0,36,0,3,2,40,2,1,56,52,36,0,42,0,0,5,39,0,14,0
2021-09-12,19,32,0,3,2,42,2,0,63,0,35,0,0,0,0,6,37,0,13,0
